id,obs,peakid,peakobs,peakno,country,place,dateorig,n,startyear,endyear,type,interval,calendar,sourcetype,values,lat,lon,population,complete,source
1,1,12,1,1,Syria,Aleppo,1761-04-06,58,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,2,12,2,1,Syria,Aleppo,1761-04-13,88,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,3,12,3,1,Syria,Aleppo,1761-04-20,125,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,4,12,4,1,Syria,Aleppo,1761-04-27,113,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,5,12,5,1,Syria,Aleppo,1761-05-04,171,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,6,12,6,1,Syria,Aleppo,1761-05-11,139,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,7,12,7,1,Syria,Aleppo,1761-05-18,177,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,8,12,8,1,Syria,Aleppo,1761-05-25,290,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,9,12,9,1,Syria,Aleppo,1761-06-01,670,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,10,12,10,1,Syria,Aleppo,1761-06-08,543,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,11,12,11,1,Syria,Aleppo,1761-06-15,505,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,12,12,12,1,Syria,Aleppo,1761-06-22,612,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,13,12,13,1,Syria,Aleppo,1761-06-29,708,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,14,12,14,1,Syria,Aleppo,1761-07-06,483,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,15,12,15,1,Syria,Aleppo,1761-07-13,296,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,16,12,16,1,Syria,Aleppo,1761-07-20,236,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,17,12,17,1,Syria,Aleppo,1761-07-27,102,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,18,12,18,1,Syria,Aleppo,1761-08-03,110,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,19,12,19,1,Syria,Aleppo,1761-08-10,90,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,20,12,20,1,Syria,Aleppo,1761-08-17,108,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,21,12,21,1,Syria,Aleppo,1761-08-24,66,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,22,12,22,1,Syria,Aleppo,1761-08-31,76,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,23,12,23,1,Syria,Aleppo,1761-09-07,98,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,24,12,24,1,Syria,Aleppo,1761-09-14,66,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,25,12,25,1,Syria,Aleppo,1761-09-21,78,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,26,12,26,1,Syria,Aleppo,1761-09-28,85,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,27,12,27,1,Syria,Aleppo,1761-10-05,106,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,28,12,28,1,Syria,Aleppo,1761-10-12,66,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,29,12,29,1,Syria,Aleppo,1761-10-19,110,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,30,12,30,1,Syria,Aleppo,1761-10-26,156,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,31,12,31,1,Syria,Aleppo,1761-11-02,137,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,32,12,32,1,Syria,Aleppo,1761-11-09,116,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,33,12,33,1,Syria,Aleppo,1761-11-16,124,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,34,12,34,1,Syria,Aleppo,1761-11-23,167,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,35,12,35,1,Syria,Aleppo,1761-11-30,166,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,36,12,36,1,Syria,Aleppo,1761-12-07,156,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,37,12,37,1,Syria,Aleppo,1761-12-14,166,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,38,12,38,1,Syria,Aleppo,1761-12-21,105,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,39,12,39,1,Syria,Aleppo,1761-12-28,99,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,40,24,1,2,Syria,Aleppo,1762-01-04,149,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,41,24,2,2,Syria,Aleppo,1762-01-11,100,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
1,42,24,3,2,Syria,Aleppo,1762-01-18,50,1761,1762,all-cause mortality,weekly,julian,table,counts,36.20124000000004,37.16117000000003,235000,,Russell 1791
