doy	temp1	temp2	temp3
1	6.4	18	12.5
2	10	16.2	12.5
3	11.2	17.5	13.7
4	10	17.5	13.5
5	10	18	13
6	11	17.5	12.5
7	10	12	9.7
8	7.1	17.1	12.5
9	8.6	16.2	12.5
10	11.4	17.5	11.3
11	7.5	18.6	11.2
12	7.4	18.4	8.2
13	8	18.2	10
14	9.2	18	13.7
15	8.8	17.5	12
16	6.8	19	12.5
17	6.2	20	13.7
18	8.8	19.6	16.2
19	11.4	19	12.2
20	12.5	16.8	13.6
21	12	18.6	14.5
22	9	17.5	12.2
23	7.5	18.7	13.7
24	7	20	13.8
25	6.8	18.7	12.5
26	7.5	18.7	12.6
27	7.5	20.1	16.2
28	15.3	19	12.6
29	10	18.6	13.6
30	10.1	18.8	15
31	10.8	18.9	12.6
32	12.3	18.7	15
33	9.1	20	14.6
34	11	18.2	15
35	12.5	19.6	13.7
36	11.3	18.7	13.6
37	10.6	17.2	15
38	12.5	20	15.3
39	12.2	20	15
40	11	17.5	12.5
41	8.8	18.3	13.7
42	8.7	19.5	15.4
43	11.2	21.2	15.1
44	10.6	21	16.4
45	16.6	18.8	17.5
46	12.5	20.3	15.2
47	10.6	17.5	15
48	8.8	18.7	13.4
49	10.2	20	16.4
50	12.6	20	17.5
51	13.6	20.4	16
52	12.4	21	16.1
53	11.8	20.6	15
54	12	21.5	16
55	12.1	20	16.1
56	11.8	19.6	15
57	10.7	20	15
58	12.2	18.7	15.1
59	11.3	20.3	15.3
60	9.5	20.6	15
61	9.6	20.5	15.1
62	8.8	21.2	16.6
63	11	23	20
64	12.4	25.2	17.3
65	15	25.6	22.5
66	13.4	20	17.5
67	11.9	21	14
68	11.2	21.1	16.4
69	11.2	21.2	15.2
70	9.6	22	16
71	11.4	22.4	16.1
72	12.5	25	17.2
73	12.3	32	15
74	12	20.6	13.7
75	11	19.8	16
76	11.4	20	15.2
77	12	22.1	17
78	12.6		16
79	11	22	15
80	10	23.8	15
81	12	25	16.5
82	14.6	24.1	19
83	12.4	28.7	22
84	13	30	20.2
85	15	31.2	25
86	17.2	25	19
87	15	25.2	17
88	12.5	22.2	15.1
89	12	24	17
90	10.6	24.6	18.2
91	14.5	28.7	20
92	16.1	26	18
93	15.6	23.7	6.1
94	14.8	22.2	15
95	13.6	21.1	16.8
96	13	24.7	18
97	13.2	28.8	21
98	15.1	31.8	22.5
99	15	35	22.2
100	17	35	25.3
101	20.1	36.2	28.3
102	20	30	22.6
103	17.1	29.2	21.1
104	17.2	30	16.2
105	15.2	24.6	16.8
106	15	24.4	17.2
107	15.2	24.5	16.3
108	13.6	26.6	20
109	12.8	32.4	24.1
110	15.2	35.2	27.6
111	15.2	28.7	18.2
112	15	25.2	19
113	17.3	27.6	12.2
114	17.4	36.5	27
115	19.5	34	23
116	18.2	30.7	21.2
117	17.4	25.1	17.8
118	18	28.6	21
119	27	30.8	25
120	20.1	34.6	26.1
121	20.2	35	20
122	20.4	24.6	25
123	26.2	33.7	25.2
124	17.3	31	22.8
125	17	30	24.1
126	16.2	29.6	24.2
127	17.3	33.2	25.3
128	20.4	37.3	24
129	20.8	31.2	23.4
130	20.7	28.6	23
131	22	23.8	25.2
132	18.3	30	20.3
133	17	29.6	22.4
134	16.4	28.1	22.3
135	17.3	30.4	23
136	17	30	22.5
137	20.1	33.7	23
138	19.2	33.6	25
139	18.7	33.5	26.2
140	21	38.4	31
141	21.2	23.3	24.5
142	20.4	33.1	24.8
143	20	32	26.7
144	21	35.7	27
145	21.2	40.4	31
146	27.3	41.9	29.1
147	21.2	35	25.2
148	20	31.2	24.5
149	19.8	31.3	22
150	17	31	23.5
151	18.4	32.2	25
152	20	33.7	28.6
153	23	40.3	25
154	20.2	31.6	22.8
155	20.4	32.5	23
156	21	32	25
157	20.2	35.6	27.4
158	22.5	38	25
159	24.4	31.5	23
160	20.3	32.1	22.2
161	18.4	32.4	24.5
162	18.6	32.5	25
163	20	32.6	25.2
164	24.2	43	30
165	24.3	35.6	27
166	24.2	43	36
167	23	35.4	25
168	20.4	35	25.1
169	24.2	35	25
170	20.1	24.6	23.5
171	20.7	24.4	23.5
172	20	35	26
173	20.3	36.6	28
174	21	39.5	29.3
175	22	44.2	30.6
176	21.6	38	26
177	22.2	39.1	26.3
178	17.4	25.1	17.8
179	23.1	41.1	26.2
180	20.6	41.1	26
181	22.2	41.4	25.1
